Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Comparison/100000/find/vector-hashtables (frozen),1.5649523580728677e-4,1.5605616584514373e-4,1.5721356913025807e-4,1.9705661322794016e-6,1.3602709463420232e-6,2.88141627299565e-6
Comparison/100000/lookupIndex/hashtables basic,9.71810198264501e-4,9.673733892046277e-4,9.763669167083512e-4,1.513550190085508e-5,1.2134268238624573e-5,2.0029849866449507e-5
Comparison/100000/lookupIndex/vector-hashtables,2.641034250464948e-4,2.6377676549750535e-4,2.644970930400751e-4,1.2051861920331162e-6,1.0114001510872198e-6,1.4456327007723865e-6
Comparison/100000/fromList/hashtables basic,1.0429499890171647e-2,1.0157435504688518e-2,1.0737524788548862e-2,8.547088431855836e-4,6.964637585327324e-4,1.0482086748908326e-3
Comparison/100000/fromList/vector-hashtables,3.0954242315241205e-3,2.7719374964607297e-3,3.641680490133116e-3,1.393886890620583e-3,9.736366596243073e-4,2.231631880410737e-3
Comparison/100000/toList/hashtables basic,1.4174977906645503e-3,1.3986255330867142e-3,1.4425937187968424e-3,7.232182312946139e-5,5.8283366869380914e-5,9.380903866104158e-5
Comparison/100000/toList/vector-hashtables,3.192894242895358e-3,3.104175685641562e-3,3.3183441545527005e-3,3.564382378547826e-4,2.395523569646384e-4,5.388860659490742e-4
Comparison/1000000/insert/hashtables basic,5.959345010568615e-2,5.841862315304482e-2,6.139210817932125e-2,2.655628910850536e-3,1.4808446334325903e-3,4.105383924254537e-3
Comparison/1000000/insert/vector-hashtables boxed,4.234336754857981e-2,4.078179981089696e-2,4.4139891905172104e-2,3.3076444405204792e-3,2.3463397509283445e-3,4.463159730036379e-3
Comparison/1000000/insert/vector-hashtables unboxed keys,3.0126393098609823e-2,2.8895239060670274e-2,3.1372384337021414e-2,2.543764192437888e-3,2.1464165849167443e-3,3.1291317688061163e-3
Comparison/1000000/insert/vector-hashtables,2.20307146420291e-2,2.134154102218915e-2,2.2666192814038203e-2,1.544191408081723e-3,9.5976484221556e-4,2.5911286497008047e-3
Comparison/1000000/insert/mutable vector boxed,1.881407369901629e-2,1.8246262757814654e-2,1.9738770708230484e-2,1.7199038388880992e-3,1.0477176057692844e-3,2.417778437327696e-3
Comparison/1000000/insert/mutable vector,4.6200375642488324e-4,4.60025463162741e-4,4.6468255080091134e-4,7.4362820095991315e-6,5.936592444180921e-6,1.0276492721871543e-5
Comparison/1000000/insert (resize)/hashtables basic,0.1408429011026616,0.13799772619053588,0.1447944767239779,4.916000974684619e-3,3.1294204064902112e-3,6.6301681730114225e-3
Comparison/1000000/insert (resize)/vector-hashtables boxed,5.1254047756802944e-2,4.8907730128544685e-2,5.312899526475661e-2,4.328054898114785e-3,3.2534683627430915e-3,6.154363221947912e-3
Comparison/1000000/insert (resize)/vector-hashtables unboxed keys,3.60868054625934e-2,3.4455406080023225e-2,3.77050623861469e-2,3.354844751305931e-3,2.733770741513534e-3,4.3062661968134e-3
Comparison/1000000/insert (resize)/vector-hashtables,1.6167291911376176e-2,1.5364412353240165e-2,1.7075586454483496e-2,2.0964786719302802e-3,1.648367509788485e-3,2.9534604699139127e-3
"Comparison/1000000/insert, delete/hashtables basic",8.507715122133035e-2,8.429327628050473e-2,8.705149191625727e-2,2.0513949122097953e-3,6.214650630189454e-4,3.420432191825506e-3
"Comparison/1000000/insert, delete/vector-hashtables",1.3563956277684712e-2,1.3158619697835418e-2,1.4238055941330726e-2,1.2426989226078822e-3,8.662156127708506e-4,1.9162183621908326e-3
Comparison/1000000/find/hashtables basic,9.378407643588275e-3,9.341418939280829e-3,9.429398314445916e-3,1.2215919506405572e-4,8.96399978763046e-5,1.7034787761257536e-4
